Item,Category
Groceries,Shopping
Chai/Coffee,Beverage
Breakfast,Food
Lunch,Food
Dinner,Food
Snacks,Food
Eating Out,Food
Food Delivery,Food
Bus Ticket,Transport
Train Ticket,Transport
Metro Card Recharge,Transport
"Taxi/Rideshare (Uber, Ola)",Transport
Petrol/Diesel,Transport
Car Maintenance,Transport
Flight Tickets,Travel
Hotel Booking,Travel
Travel Insurance,Travel
Rental Vehicle,Travel
Electricity Bill,Utilities
Water Bill,Utilities
Gas Bill,Utilities
Mobile Recharge,Utilities
WiFi/Broadband,Utilities
Rent,Housing
Maintenance Charges,Housing
Clothing,Shopping
Footwear,Shopping
Accessories,Shopping
Electronics,Shopping
Beauty Products,Personal Care
Home Decor,Shopping
Furniture,Shopping
Movie Ticket,Entertainment
Concert Ticket,Entertainment
"Streaming Subscription (Netflix, Prime)",Entertainment
Gaming (Mobile/PC/Console),Entertainment
Books & Magazines,Entertainment
Sports & Outdoor Activities,Entertainment
Club Membership,Entertainment
Gym Membership,Health
Yoga/Meditation Classes,Health
Doctor Consultation,Health
Medicines,Health
Health Insurance,Health
Supplements,Health
Therapy/Counseling,Health
School Fees,Education
Tuition Fees,Education
College Fees,Education
Online Courses,Education
Books & Study Material,Education
Exam Fees,Education
Workshops/Seminars,Education
Office Rent,Business
Work Travel,Business
Business Investment,Business
Software & Tools,Business
Freelance Payments,Business
Employee Salaries,Business
